Wl	R
2351	0.951
2352	0.953
2353	0.955
2354	0.957
2355	0.957
2356	0.953
2357	0.953
2358	0.952
2359	0.952
2360	0.952
2361	0.950
2362	0.949
2363	0.950
2364	0.953
2365	0.952
2366	0.952
2367	0.952
2368	0.950
2369	0.952
2370	0.951
2371	0.951
2372	0.951
2373	0.952
2374	0.953
2375	0.953
2376	0.953
2377	0.951
2378	0.952
2379	0.953
2380	0.952
2381	0.950
2382	0.950
2383	0.950
2384	0.954
2385	0.950
2386	0.950
2387	0.949
2388	0.949
2389	0.952
2390	0.952
2391	0.949
2392	0.953
2393	0.953
2394	0.951
2395	0.949
2396	0.948
2397	0.948
2398	0.953
2399	0.950
2400	0.949
2401	0.951
2402	0.948
2403	0.951
2404	0.948
2405	0.950
2406	0.951
2407	0.953
2408	0.953
2409	0.950
2410	0.948
2411	0.948
2412	0.948
2413	0.951
2414	0.949
2415	0.951
2416	0.948
2417	0.948
2418	0.948
2419	0.953
2420	0.954
2421	0.952
2422	0.952
2423	0.953
2424	0.953
2425	0.951
2426	0.946
2427	0.951
2428	0.952
2429	0.951
2430	0.948
2431	0.951
2432	0.952
2433	0.952
2434	0.946
2435	0.946
2436	0.951
2437	0.951
2438	0.951
2439	0.948
2440	0.951
2441	0.950
2442	0.949
2443	0.950
2444	0.948
2445	0.951
2446	0.951
2447	0.953
2448	0.954
2449	0.950
2450	0.955
2451	0.955
2452	0.954
2453	0.953
2454	0.947
2455	0.949
2456	0.953
2457	0.954
2458	0.952
2459	0.951
2460	0.954
2461	0.953
2462	0.953
2463	0.948
2464	0.958
2465	0.957
2466	0.956
2467	0.955
2468	0.955
2469	0.953
2470	0.951
2471	0.953
2472	0.953
2473	0.949
2474	0.953
2475	0.956
2476	0.952
2477	0.954
2478	0.952
2479	0.954
2480	0.954
2481	0.949
2482	0.953
2483	0.956
2484	0.951
2485	0.957
2486	0.951
2487	0.953
2488	0.951
2489	0.945
2490	0.951
2491	0.950
2492	0.960
2493	0.952
2494	0.951
2495	0.957
2496	0.953
2497	0.948
2498	0.953
2499	0.952
2500	0.947
