Wl	R
782	0.989
783	0.988
784	0.988
785	0.988
786	0.987
787	0.988
788	0.988
789	0.988
790	0.988
791	0.988
792	0.988
793	0.989
794	0.988
795	0.988
796	0.988
797	0.989
798	0.988
799	0.989
800	0.988
801	0.988
802	0.989
803	0.989
804	0.988
805	0.987
806	0.988
807	0.988
808	0.988
809	0.988
810	0.989
811	0.988
812	0.989
813	0.988
814	0.988
815	0.988
816	0.989
817	0.987
818	0.987
819	0.988
820	0.988
821	0.988
822	0.988
823	0.988
824	0.988
825	0.988
826	0.988
827	0.988
828	0.988
829	0.988
830	0.988
831	0.989
832	0.987
833	0.988
834	0.989
835	0.988
836	0.988
837	0.988
838	0.988
839	0.988
840	0.988
841	0.988
842	0.988
843	0.988
844	0.987
845	0.988
846	0.988
847	0.988
848	0.988
849	0.988
850	0.988
851	0.987
852	0.987
853	0.988
854	0.988
855	0.988
856	0.988
857	0.987
858	0.988
859	0.987
860	0.988
861	0.989
862	0.989
863	0.990
864	0.990
865	0.990
866	0.990
867	0.990
868	0.989
869	0.990
870	0.989
871	0.989
872	0.990
873	0.989
874	0.990
875	0.989
876	0.990
877	0.990
878	0.990
879	0.989
880	0.989
881	0.989
882	0.989
883	0.989
884	0.989
885	0.989
886	0.989
887	0.989
888	0.989
889	0.989
890	0.989
891	0.989
892	0.989
893	0.989
894	0.989
895	0.989
896	0.989
897	0.989
898	0.989
899	0.989
900	0.989
901	0.989
902	0.989
903	0.989
904	0.989
905	0.989
906	0.989
907	0.989
908	0.989
909	0.989
910	0.989
911	0.989
912	0.989
913	0.989
914	0.989
915	0.989
916	0.989
917	0.989
918	0.989
919	0.989
920	0.989
921	0.989
922	0.989
923	0.989
924	0.989
925	0.989
926	0.989
927	0.989
928	0.989
929	0.989
930	0.989
931	0.989
932	0.989
933	0.989
934	0.988
935	0.988
936	0.989
937	0.989
938	0.989
939	0.989
940	0.989
941	0.989
942	0.989
943	0.989
944	0.989
945	0.989
946	0.989
947	0.989
948	0.989
949	0.989
950	0.988
951	0.989
952	0.989
953	0.988
954	0.988
955	0.989
956	0.989
957	0.989
958	0.988
959	0.988
960	0.989
961	0.989
962	0.989
963	0.989
964	0.988
965	0.988
966	0.988
967	0.989
968	0.989
969	0.989
970	0.988
971	0.989
972	0.989
973	0.989
974	0.989
975	0.989
976	0.988
977	0.988
978	0.989
979	0.989
980	0.988
981	0.988
982	0.989
983	0.989
984	0.989
985	0.989
986	0.989
987	0.988
988	0.988
989	0.989
990	0.989
991	0.989
992	0.989
993	0.988
994	0.989
995	0.989
996	0.989
997	0.989
998	0.988
999	0.989
1000	0.989
1001	0.989
1002	0.989
1003	0.989
1004	0.988
1005	0.988
1006	0.989
1007	0.989
1008	0.989
1009	0.989
1010	0.989
1011	0.989
1012	0.989
1013	0.989
1014	0.989
1015	0.989
1016	0.989
1017	0.989
1018	0.989
1019	0.989
1020	0.989
1021	0.989
1022	0.989
1023	0.989
1024	0.988
1025	0.988
1026	0.989
1027	0.989
1028	0.989
1029	0.989
1030	0.989
1031	0.989
1032	0.989
1033	0.989
1034	0.989
1035	0.989
1036	0.988
1037	0.988
1038	0.989
1039	0.989
1040	0.989
1041	0.989
1042	0.989
1043	0.989
1044	0.989
1045	0.989
1046	0.989
1047	0.989
1048	0.989
1049	0.989
1050	0.989
1051	0.989
1052	0.989
1053	0.989
1054	0.988
1055	0.988
1056	0.989
1057	0.989
1058	0.989
1059	0.989
1060	0.988
1061	0.989
1062	0.989
1063	0.989
1064	0.989
1065	0.988
1066	0.989
1067	0.989
1068	0.989
1069	0.989
1070	0.989
1071	0.988
1072	0.989
1073	0.989
1074	0.989
1075	0.989
1076	0.989
